vfdDirAdEc,vfdDiH+AdEc
kalyARyAdInAminaN,kalyARyAdInAm+inaN
kulawAyA vA,kulawAyAH+vA
cawakAyA Erak,cawakAyAH+Erak
goDAyA Qrak,goDAyAH+Qrak
AragudIcAm,Arak+udIcAm
kzudrAByo vA,kzudrAByaH+vA
pitfzvasuSCaR,pitfzvasu+CaR
mAtfzvasuSca,mAtfzvasuH+ca
catuzpAdByo QaY,catuzpAdByaH+QaY
gfzwyAdiByaSca,gfzwyAdiByaH+ca
rAjaSvaSurAdyat,rAjaSvaSurAt+yat
kzatrAdGaH,kzatrAt+GaH
kulAt KaH,kulAt+KaH
apUrvapadAdanyatarasyAM yaqQakaYO,apUrvapadAt+anyatarasyAm+yaqQakaYO
mahAkulAdaYKaYO,mahAkulAt+aYKaYO
duzkulAqQak,duzkulAt+Qak
svasuSCaH,svasuH+CaH
BrAturvyacca,BrAtuH+vyat+ca
revatyAdiByazWak,revatyAdiByaH+Wak
vfdDAwWak sOvIrezu bahulam,vfdDAt+Wak+sOvIrezu+bahulam
PeSCa ca,PeH+Ca+ca
PARwAhftimimatAByAM RaPiYO,PARwAhftimimatAByAm+RaPiYO
kurvAdiByo RyaH,kurvAdiByaH+RyaH
senAntalakzaRakAriByaSca,senAntalakzaRakAriByaH+ca
udIcAmiY,udIcAm+iY
kOsalyakArmAryAByAM ca,kOsalyakArmAryAByAm+ca
aRo dvyacaH,aRaH+dvyacaH
udIcAM vfdDAdagotrAt,udIcAm+vfdDAt+agotrAt
vAkinAdInAM kuk ca,vAkinAdInAm+kuk+ca
putrAntAdanyatarasyAm,putrAntAt+anyatarasyAm
prAcAmavfdDAt Pin bahulam,prAcAm+avfdDAt+Pin+bahulam
manorjAtAvaYyatO zuk ca,manoH+jAtO+aYyatO+zuk+ca
apatyaM pOtrapraBfti gotram,apatyam+pOtrapraBfti+gotram
vA'nyasmin sapiRqe sTaviratare jIvati,vA+anyasmin+sapiRqe+sTaviratare+jIvati
yUnaSca kutsAyAm,yUnaH+ca+kutsAyAm
janapadaSabdAt kzatriyAdaY,janapadaSabdAt+kzatriyAt+aY
sAlveyagAnDAriByAM ca,sAlveyagAnDAriByAm+ca
dvyaYmagaDakaliNgasUramasAdaR,dvyaYmagaDakaliNgasUramasAd+aR
vfdDetkosalAjAdAYYyaN,vfdDetkosalAjAdAt+YyaN
kuruRAdiByo RyaH,kuruRAdiByaH+RyaH
sAlvAvayavapratyagraTakalakUwASmakAdiY,sAlvAvayavapratyagraTakalakUwASmakAt+iY
kambojAlluk,kambojAt+luk
striyAmavantikuntikuruByaSca,striyAm+avantikuntikuruByaH+ca
ataSca,ataH+ca
tena raktaM rAgAt,tena+raktam+rAgAt
lAkzArocanA(SakalakardamA)wWak,lAkzArocanAt+(SakalakardamAt)+Wak
lubaviSeze,lup+aviSeze
saMjYAyAM SravaRASvatTAByAm,saMjYAyAm+SravaRASvatTAByAm
dvaMdvAcCaH,dvandvAt+CaH
dfzwaM sAma,dfzwam+sAma
vAmadevAqqyaqqyO,vAmadevAt+qyaqqyO
parivfto raTaH,parivftaH+raTaH
pARqukambalAdiniH,pARqukambalAt+iniH
dvEpavEyAGrAdaY,dvEpavEyAGrAt+aY
kOmArApUrvavacane,kOmAra+apUrvavacane
tatrodDftamamatreByaH,tatra+udDftam+amatreByaH
sTaRqilAcCayitari vrate,sTaRqilAt+Sayitari+vrate
saMskftaM BakzAH,saMskftam+BakzAH
SUloKAdyat,SUloKAt+yat
daDnazWak,daDnaH+Wak
udaSvito'nyatarasyAm,udaSvitaH+anyatarasyAm
kzIrAqQaY,kzIrAt+QaY
sA'smin pOrRamAsIti (saMjYAyAm),sA+asmin+pOrRamAsi+iti+(saMjYAyAm)
AgrahAyaRyaSvatTAwWak,AgrahAyaRyaSvatTAt+Wak
sA'sya devatA,sA+asya+devatA
kasyet,kasya+it
SukrAdGan,SukrAt+Gan
aponaptrapAnnaptfByAM GaH,aponaptrapAnnaptfByAm+GaH
mahendrAdGARO ca,mahendrAt+GARO+ca
somAwwyaR,somAt+wyaR
vAyvftupitruzaso yat,vAyvftupitruzasaH+yat
dyAvApfTivISunAsIramarutvadagnIzomavAstozpatigfhameDAcCa ca,dyAvApfTivISunAsIramarutvadagnIzomavAstozpatigfhameDAt+Ca+ca
agnerQak,agneH+Qak
kAleByo Bavavat,kAleByaH+Bavavat
mahArAjaprozWapadAwWaY,mahArAjaprozWapadAt+WaY
BikzA''diByo'R,BikzA''diByaH+aR
gotrokzozwroraBrarAjarAjanyarAjaputravatsamanuzyAjAdvuY,gotrokzozwroraBrarAjarAjanyarAjaputravatsamanuzyAjAt+vuY
kedArAdyaY ca,kedArAt+yaY+ca
WaY kavacinaSca,WaY+kavacinaH+ca
brAhmaRamARavavAqavAdyan,brAhmaRamARavavAqavAt+yan
anudAttAderaY,anudAttAdeH+aY
KaRqikAdiByaSca,KaRqikAdiByaH+ca
caraReByo Darmavat,caraReByaH+Darmavat
acittahastiDenozWak,acittahastiDenoH+Wak
keSASvAByAM yaYCAvanyatarasyAm,keSASvAByAm+yaYCO+anyatarasyAm
pASAdiByo yaH,pASAdiByaH+yaH
initrakawyacaSca,initrakawyacaH+ca
vizayo deSe,vizayaH+deSe
rAjanyAdiByo vuY,rAjanyAdiByaH+vuY
BOrikyAdyEzukAryAdiByo viDalBaktalO,BOrikyAdyEzukAryAdiByaH+viDalBaktalO
so'syAdiriti cCandasaH pragATezu,saH+asya+AdiH+iti+CandasaH+pragATezu
saMgrAme prayojanayodDfByaH,saNgrAme+prayojanayodDfByaH
tadasyAM praharaRamiti krIqAyAm RaH,tat+asyAm+praharaRam+iti+krIqAyAm+RaH
GaYaH sA'syAM kriyeti YaH,GaYaH+sA+asyAm+kriyA+iti+YaH
tadaDIte tadveda,tat+aDIte+tadveda
kratUkTAdisUtrAntAwWak,kratUkTAdisUtrAntAt+Wak
kramAdiByo vun,kramAdiByaH+vun
anubrAhmaRAdiniH,anubrAhmaRAt+iniH
vasantAdiByazWak,vasantAdiByaH+Wak
proktAlluk,proktAt+luk
sUtrAcca kopaDAt,sUtrAt+ca+kopaDAt
tadasminnastIti deSe tannAmni,tat+asmin+asti+iti+deSe+tannAmni
adUraBavaSca,adUraBavaH+ca
oraY,oH+aY
matoSca bahvajaNgAt,matoH+ca+bahvajaNgAt
saMkalAdiByaSca,saNkalAdiByaH+ca
suvAstvAdiByo'R,suvAstvAdiByaH+aR
kopaDAcca,kopaDAt+ca
vuYCaRkaWajilaSeniraQaYRyayaPakPiYiYYyakakWako'rIhaRakfSASvarSyakumudakASatfRaprekzA'SmasaKisaMkASabalapakzakarRasutaMgamapragadinvarAhakumudAdiByaH,vuYCaRkaWajilaSeniraQaYRyayaPakPiYiYYyakakWakaH+arIhaRakfSASvarSyakumudakASatfRaprekzA'SmasaKisaMkASabalapakzakarRasutaMgamapragadinvarAhakumudAdiByaH
janapade lup,janapade+lup
varaRAdiByaSca,varaRAdiByaH+ca
SarkarAyA vA,SarkarAyAH+vA
nadyAM matup,nadyAm+matup
maDvAdiByaSca,maDvAdiByaH+ca
kumudanaqavetaseByo qmatup,kumudanaqavetaseByaH+qmatup
naqaSAdAqqvalac,naqaSAdAt+valac
utkarAdiByaSCaH,utkarAdiByaH+CaH
naqAdInAM kuk ca,naqAdInAm+kuk+ca
rAzwrAvArapArAdGaKO,rAzwrAvArapArAt+GaKO
grAmAdyaKaYO,grAmAt+yaKaYO
kattryAdiByo QakaY,kattryAdiByaH+QakaY
kulakukzigrIvAByaH SvAsyalaMkArezu,kulakukzigrIvAByaH+SvAsyalaNkArezu
nadyAdiByo Qak,nadyAdiByaH+Qak
dakziRApaScAtpurasastyak,dakziRApaScAtpurasaH+tyak
raMkoramanuzye'R ca,raNkoH+amanuzye+aR+ca
dyuprAgapAgudakpratIco yat,dyuprAgapAgudakpratIcaH+yat
kanTAyAzWak,kanTAyAH+Wak
avyayAttyap,avyayAt+tyap
EzamohyaHSvaso'nyatarasyAm,EzamohyaHSvasaH+anyatarasyAm
tIrarUpyottarapadAdaYYO,tIrarUpyottarapadAt+aYYO
dikpUrvapadAdasaMjYAyAM YaH,dikpUrvapadAt+asaMjYAyAm+YaH
madreByo'Y,madreByaH+aY
udIcyagrAmAcca bahvaco'ntodAttAt,udIcyagrAmAt+ca+bahvacaH+antodAttAt
prasTottarapadapaladyAdikopaDAdaR,prasTottarapadapaladyAdikopaDAt+aR
kaRvAdiByo gotre,kaRvAdiByaH+gotre
iYaSca,iYaH+ca
na dvyacaH prAcyaBaratezu,na+dvyacaH+prAcyaBaratezu
vfdDAcCaH,vfdDAt+CaH
BavatazWakCasO,BavataH+WakCasO
kASyAdiByazWaYYiWO,kASyAdiByaH+WaYYiWO
vAhIkagrAmeByaSca,vAhIkagrAmeByaH+ca
viBAzoSInarezu,viBAzA+uSInarezu
ordeSe WaY,oH+deSe+WaY
vfdDAt prAcAm,vfdDAt+prAcAm
DanvayopaDAdvuY,DanvayopaDAt+vuY
prasTapuravahAntAcca,prasTapuravahAntAt+ca
janapadatadavaDyoSca,janapadatadavaDyoH+ca
avfdDAdapi bahuvacanavizayAt,avfdDAt+api+bahuvacanavizayAt
DUmAdiByaSca,DUmAdiByaH+ca
nagarAt kutsanaprAvIRyayoH,nagarAt+kutsanaprAvIRyayoH
araRyAnmanuzye,araRyAt+manuzye
kopaDAdaR,kopaDAt+aR
kacCAdiByaSca,kacCAdiByaH+ca
manuzyatatsTayorvuY,manuzyatatsTayoH+vuY
apadAtO sAlvAt,apadAtO+sAlvAt
goyavAgvoSca,goyavAgvoH+ca
gartottarapadAcCaH,gartottarapadAt+CaH
gahAdiByaSca,gahAdiByaH+ca
prAcAM kawAdeH,prAcAm+kawAdeH
vfdDAdakekAntaKopaDAt,vfdDAt+akekAntaKopaDAt
parvatAcca,parvatAt+ca
viBAzA'manuzye,viBAzA+amanuzye
kfkaRaparRAdBAradvAje,kfkaRaparRAt+BAradvAje
yuzmadasmadoranyatarasyAM KaY ca,yuzmadasmadoH+anyatarasyAm+KaY+ca
tasmin naRi ca yuzmAkAsmAkO,tasmin+aRi+ca+yuzmAkAsmAkO
tavakamamakAvekavacane,tavakamamakO+ekavacane
arDAdyat,arDAt+yat
parAvarADamottamapUrvAcca,parAvarADamottamapUrvAt+ca
dikpUrvapadAwWaY ca,dikpUrvapadAt+WaY+ca
grAmajanapadEkadeSAdaYWaYO,grAmajanapadEkadeSAt+aYWaYO
maDyAnmaH,maDyAt+maH
dvIpAdanusamudraM yaY,dvIpAt+anusamudram+yaY
kAlAwWaY,kAlAt+WaY
niSApradozAByAM ca,niSApradozAByAm+ca
Svasastuw ca,SvasaH+tuw+ca
saMDivelA''dyftunakzatreByo'R,saMDivelA''dyftunakzatreByaH+aR
prAvfza eRyaH,prAvfzaH+eRyaH
varzAByazWak,varzAByaH+Wak
vasantAcca,vasantAt+ca
hemantAcca,hemantAt+ca
sarvatrAR ca talopaSca,sarvatra+ca+talopaH+ca
sAyaMciramprAhReprage'vyayeByazwyuwyulO tuw ca,sAyaMciramprAhReprage'vyayeByaH+wyuwyulO+tuw+ca
prAvfzazWap,prAvfzaH+Wap
saMjYAyAM Sarado vuY,saMjYAyAm+SaradaH+vuY
pUrvAhRAparAhRArdrAmUlapradozAvaskarAdvun,pUrvAhRAparAhRArdrAmUlapradozAvaskarAt+vun
amAvAsyAyA vA,amAvAsyAyAH+vA
sinDvapakarAByAM kan,sinDvapakarAByAm+kan
SravizWAPalgunyanurADAsvAtitizyapunarvasuhastaviSAKA'zAQAbahulAlluk,SravizWAPalgunyanurADAsvAtitizyapunarvasuhastaviSAKA'zAQAbahulAt+luk
sTAnAntagoSAlaKaraSAlAcca,sTAnAntagoSAlaKaraSAlAt+ca
vatsaSAlA'BijidaSvayukCataBizajo vA,vatsaSAlA'BijidaSvayukCataBizajaH+vA
nakzatreByo bahulam,nakzatreByaH+bahulam
upajAnUpakarRopanIvezWak,upajAnUpakarRopanIveH+Wak
koSAqQaY,koSAt+QaY
kAlAt sADupuzpyatpacyamAnezu,kAlAt+sADupuzpyatpacyamAnezu
ASvayujyA vuY,ASvayujyAH+vuY
grIzmavasantAdanyatarasyAm,grIzmavasantAt+anyatarasyAm
deyamfRe,deyam+fRe
kalApyaSvatTayavabusAdvun,kalApyaSvatTayavabusAt+vun
grIzmAvarasamAdvuY,grIzmAvarasamAt+vuY
saMvatsarAgrahAyaRIByAM WaY ca,saMvatsarAgrahAyaRIByAm+WaY+ca
tadasya soQam,tat+asya+soQam
digAdiByo yat,digAdiByaH+yat
SarIrAvayavAcca,SarIrAvayavAt+ca
dftikukzikalaSivastyastyaherQaY,dftikukzikalaSivastyastyaheH+QaY
grIvAByo'R ca,grIvAByaH+aR+ca
gamBIrAYYyaH,gamBIrAt+YyaH
avyayIBAvAcca,avyayIBAvAt+ca
antaHpUrvapadAwWaY,antaHpUrvapadAt+WaY
grAmAt paryanupUrvAt,grAmAt+paryanupUrvAt
jihvAmUlANguleSCaH,jihvAmUlANguleH+CaH
vargAntAcca,vargAntAt+ca
aSabde yatKAvanyatarasyAm,aSabde+yatKO+anyatarasyAm
karRalalAwAt kanalaMkAre,karRalalAwAt+kan+alaNkAre
tasya vyAKyAna iti ca vyAKyAtavyanAmnaH,tasya+vyAKyAne+iti+ca+vyAKyAtavyanAmnaH
bahvaco'ntodAttAwWaY,bahvacaH+antodAttAwWaY
kratuyajYeByaSca,kratuyajYeByaH+ca
aDyAyezvevarzeH,aDyAyezu+eva+fzeH
Candaso yadaRO,CandasaH+yadaRO
dvyajfdbrAhmaRarkpraTamADvarapuraScaraRanAmAKyAtAwWak,dvyajfdbrAhmaRarkpraTamADvarapuraScaraRanAmAKyAtAt+Wak
aRfgayanAdiByaH,aR+fgayanAdiByaH
WagAyasTAneByaH,Wak+AyasTAneByaH
SuRqikAdiByo'R,SuRqikAdiByaH+aR
vidyAyonisaMbanDeByo vuY,vidyAyonisaMbanDeByaH+vuY
ftazWaY,ftaH+WaY
pituryacca,pituH+yat+ca
gotrAdaNkavat,gotrAt+aNkavat
hetumanuzyeByo'nyatarasyAM rUpyaH,hetumanuzyeByaH+anyatarasyAm+rUpyaH
vidUrAYYyaH,vidUrAt+YyaH
tadgacCati paTidUtayoH,tat+gacCati+paTidUtayoH
SiSukrandayamasaBadvaMdvendrajananAdiByaSCaH,SiSukrandayamasaBadvandvendrajananAdiByaH+CaH
so'sya nivAsaH,saH+asya+nivAsaH
aBijanaSca,aBijanaH+ca
AyuDajIviByaSCaH parvate,AyuDajIviByaH+CaH+parvate
SaRqikAdiByo YyaH,SaRqikAdiByaH+YyaH
sinDutakzaSilA''diByo'RaYO,sinDutakzaSilA''diByaH+aRaYO
tUdISalAturavarmatIkUcavArAqQakCaRQaYyakaH,tUdISalAturavarmatIkUcavArAt+QakCaRQaYyakaH
acittAdadeSakAlAwWak,acittAt+adeSakAlAt+Wak
mahArAjAwWaY,mahArAjAt+WaY
vAsudevArjunAByAM vun,vAsudevArjunAByAm+vun
gotrakzatriyAKyeByo bahulaM vuY,gotrakzatriyAKyeByaH+bahulam+vuY
janapadinAM janapadavat sarvaM janapadena samAnaSabdAnAM bahuvacane,janapadinAm+janapadavat+sarvam+janapadena+samAnaSabdAnAm+bahuvacane
tittirivaratantuKaRqikoKAcCaR,tittirivaratantuKaRqikoKAt+CaR
kASyapakOSikAByAmfziByAM RiniH,kASyapakOSikAByAm+fziByAm+RiniH
kalApivESampAyanAntevAsiByaSca,kalApivESampAyanAntevAsiByaH+ca
SOnakAdiByaSCandasi,SOnakAdiByaH+Candasi
kaWacarakAlluk,kaWacarakAt+luk
kalApino'R,kalApinaH+aR
Cagalino Qinuk,CagalinaH+Qinuk
pArASaryaSilAliByAM BikzunawasUtrayoH,pArASaryaSilAliByAm+BikzunawasUtrayoH
karmandakfSASvAdiniH,karmandakfSASvAt+iniH
tenEkadik,tena+ekadik
tasiSca,tasiH+ca
uraso yacca,urasaH+yat+ca
kulAlAdiByo vuY,kulAlAdiByaH+vuY
kzudrABramaravawarapAdapAdaY,kzudrABramaravawarapAdapAt+aY
tasyedam,tasya+idam
raTAdyat,raTAt+yat
pattrapUrvAdaY,pattrapUrvAt+aY
pattrADvaryuparizadaSca,pattrADvaryuparizadaH+ca
halasIrAwWak,halasIrAt+Wak
dvaMdvAdvun vEramETunikayoH,dvandvAt+vun+vEramETunikayoH
gotracaraRAdvuY,gotracaraRAt+vuY
saMGANkalakzaRezvaYyaYiYAmaR,saMGANkalakzaRezu+aYyaYiYAm+aR
SAkalAdvA,SAkalAt+vA
CandogOkTikayAjYikabahvfcanawAYYyaH,CandogOkTikayAjYikabahvfcanawAt+YyaH
rEvatikAdiByaSCaH,rEvatikAdiByaH+CaH
kOpiYjalahAstipadAdaR,kOpiYjalahAstipadAt+aR
ATarvaRikasyekalopaSca,ATarvaRikasyekalopaH+ca
bilvAdiByo'R,bilvAdiByaH+aR
kopaDAcca,kopaDAt+ca
oraY,oH+aY
anudAttAdeSca,anudAttAdeH+ca
palASAdiByo vA,palASAdiByaH+vA
SamyAzwlaY,SamyAH+wlaY
mayaqvEtayorBAzAyAmaBakzyAcCAdanayoH,mayaw+vA+etayoH+BAzAyAm+aBakzyAcCAdanayoH
nityaM vfdDaSarAdiByaH,nityam+vfdDaSarAdiByaH
goSca purIze,goH+ca+purIze
pizwAcca,pizwAt+ca
saMjYAyAM kan,saMjYAyAm+kan
asaMjYAyAM tilayavAByAm,asaMjYAyAm+tilayavAByAm
dvyacaSCandasi,dvyacaH+Candasi
notvadvarDrabilvAt,naH+utvadvardDrabilvAt
tAlAdiByo'R,tAlAdiByaH+aR
prARirajatAdiByo'Y,prARirajatAdiByaH+aY
YitaSca tatpratyayAt,YitaH+ca+tatpratyayAt
krItavat parimARAt,krItavat+parimARAt
uzwrAdvuY,uzwrAt+vuY
umorRayorvA,umorRayoH+vA
eRyA QaY,eRyAH+QaY
gopayasoryat,gopayasoH+yat
droSca,droH+ca
plakzAdiByo'R,plakzAdiByaH+aR
jambvA vA,jambvAH+vA
harItakyAdiByaSca,harItakyAdiByaH+ca
kaMsIyaparaSavyayoryaYaYO luk ca,kaMsIyaparaSavyayoH+yaYaYO+luk+ca
prAgvahatezWak,prAk+vahate+Wak
kulatTakopaDAdaR,kulatTakopaDAt+aR
gopucCAwWaY,gopucCAt+WaY
nOdvyacazWan,nOdvyacaH+Wan
SvagaRAwWaYca,SvagaRAt+WaY+ca
vetanAdiByo jIvati,vetanAdiByaH+jIvati
vasnakrayavikrayAwWan,vasnakrayavikrayAt+Wan
AyuDAcCa ca,AyuDAt+Ca+ca
haratyutsaNgAdiByaH,harati+utsaNgAdiByaH
viBAzA vivaDavIvaDAt,viBAzA+vivaDavIvaDAt
nirvftte'kzadyUtAdiByaH,nirvftte+akzadyUtAdiByaH
ktrermam nityaM,ktreH+map+nityam
apamityayAcitAByAM kakkanO,apamityayAcitAByAm+kakkanO
cUrRAdiniH,cUrRAt+iniH
lavaRAlluk,lavaRAt+luk
mudgAdaR,mudgAt+aR
vyaYjanErupasikte,vyaYjanEH+upasikte
ojassaho'mBasA vartate,ojaHsahomBasA+vartate
tat pratyanupUrvamIpalomakUlam,tat+pratyanupUrvam+IpalomakUlam
parimuKaM ca,parimuKam+ca
kusIdadaSEkAdaSAt zWanzWacO,kusIdadaSEkAdaSAt+zWanzWacO
SabdadarduraM karoti,Sabdadarduram+karoti
paripanTaM ca tizWati,paripanTam+ca+tizWati
mATottarapadapadavyanupadaM DAvati,mATottarapadapadavyanupadam+DAvati
AkrandAwWaYca,AkrandAt+WaY+ca
padottarapadaM gfhRAti,padottarapadam+gfhRAti
pratikaRWArTalalAmaM ca,pratikaRWArTalalAmam+ca
DarmaM carati,Darmam+carati
pratipaTameti WaMSca,pratipaTam+eti+Wan+ca
parizado RyaH,parizadaH+RyaH
senAyA vA,senAyAH+vA
saMjYAyAM lalAwakukkuwyO paSyati,saMjYAyAm+lalAwakukkuwyO+paSyati
fto'Y,ftaH+aY
tadasya paRyam,tat+asya+paRyam
lavaRAwWaY,lavaRAt+WaY
SalAluno'nyatarasyAm,SalAlunaH+anyatarasyAm
maqqukaJarJarAdaRanyatarasyAm,maqqukaJarJarAt+aR+anyatarasyAm
paraSvaDAwWaYca,paraSvaDAt+WaY+ca
SaktiyazwyorIkak,SaktiyazwyoH+Ikak
astinAstidizwaM matiH,astinAstidizwam+matiH
CatrAdiByo RaH,CatrAdiByaH+RaH
karmADyayane vfttam,karma+aDyayane+vfttam
bahvacpUrvapadAwWac,bahvacpUrvapadAt+Wac
hitaM BakzAH,hitam+BakzAH
tadasmE dIyate niyuktam,tat+asmE+dIyate+niyuktam
SrARAmAMsOdanAwwiWan,SrARAmAMsOdanAt+wiWan
BaktAdaRanyatarasyAm,BaktAt+aR+anyatarasyAm
agArAntAwWan,agArAntAt+Wan
aDyAyinyadeSakAlAt,aDyAyini+adeSakAlAt
prAgGitAdyat,prAk+hitAt+yat
tadvahati raTayugaprAsaNgam,tat+dvahati+raTayugaprAsaNgam
Duro yaqQakO,DuraH+yaqQakO
KaH sarvaDurAt,KaH+sarvaDurAt
ekaDurAlluk ca,ekaDurAt+luk+ca
SakawAdaR,SakawAt+aR
halasIrAwWak,halasIrAt+Wak
saMjYAyAM janyAH,saMjYAyAm+janyAH
viDyatyaDanuzA,viDyati+aDanuzA
DanagaRaM labDA,DanagaRam+labDA
annARRaH,annAt+RaH
vaSaM gataH,vaSam+gataH
padamasmin dfSyam,padam+asmin+dfSyam
mUlamasyAbarhi,mUlam+asya+Abarhi
saMjYAyAM DenuzyA,saMjYAyAm+DenuzyA
nOvayoDarmavizamUlamUlasItAtulAByastAryatulyaprApyavaDyAnAmyasamasamitasammitezu,nOvayoDarmavizamUlamUlasItAtulAByaH+tAryatulyaprApyavaDyAnAmyasamasamitasammitezu
DarmapaTyarTanyAyAdanapete,DarmapaTyarTanyAyAt+anapete
Candaso nirmite,CandasaH+nirmite
uraso'R ca,urasaH+aR+ca
banDane carzO,banDane+ca+fzO
matajanahalAt karaRajalpakarzezu,matajanahalAt+karaRajalpakarzezu
BaktARRaH,BaktAt+RaH
parizado RyaH,parizadaH+RyaH
kaTA''diByazWak,kaTA''diByaH+Wak
guqAdiByazWaY,guqAdiByaH+WaY
paTyatiTivasatisvapaterQaY,paTyatiTivasatisvapateH+QaY
saBAyA yaH,saBAyAH+yaH
QaSCandasi,QaH+Candasi
samAnodare Sayita o codAttaH,samAnodare+SayitaH+o+ca+udAttaH
sodarAdyaH,sodarAt+yaH
pATonadIByAM qyaR,pATonadIByAm+qyaR
veSantahimavadByAmaR,veSantahimavadByAm+aR
srotaso viBAzA qyaqqyO,srotasaH+viBAzA+qyaqqyO
sagarBasayUTasanutAdyan,sagarBasayUTasanutAt+yan
tugrAdGan,tugrAt+Gan
agrAdyat,agrAt+yat
samudrABrAdGaH,samudrABrAt+GaH
rakzoyAtUnAM hananI,rakzoyAtUnAm+hananI
mAyAyAmaR,mAyAyAm+aR
tadvAnAsAmupaDAno mantra itIzwakAsu luk ca matoH,tadvAn+AsAm+upaDAnaH+mantraH+iti+izwakAsu+luk+ca+matoH
aSvimAnaR,aSvimAn+aR
vayasyAsu mUrDno matup,vayasyAsu+mUrDnaH+matup
maDorYa ca,maDoH+Ya+ca
ojaso'hani yatKO,ojasaH+ahani+yatKO
veSoyaSaAderBagAdyal,veSoyaSaAdeH+BagAt+yal
pUrvEH kftaminiyO ca,pUrvEH+kftam+iniyO+ca
somamarhati yaH,somam+arhati+yaH
nakzatrAdGaH,nakzatrAt+GaH
sarvadevAt tAtil,sarvadevAt+tAtil
prAk krItAcCaH,prAk+krItAt+CaH
ugavAdiByo't,ugavAdiByaH+yat
kambalAcca saMjYAyAm,kambalAt+ca+saMjYAyAm
SarIrAvayavAdyat,SarIrAvayavAt+yat
KalayavamAzatilavfzabrahmaRaSca,KalayavamAzatilavfzabrahmaRaH+ca
ajAviByAM Tyan,ajAviByAm+Tyan
AtmanviSvajanaBogottarapadAt KaH,AtmanviSvajanaBogottarapadAt+KaH
sarvapuruzAByAM RaQaYO,sarvapuruzAByAm+RaQaYO
mARavacarakAByAM KaY,mARavacarakAByAm+KaY
tadarTaM vikfteH prakftO,tadarTam+vikfteH+prakftO
fzaBopAnahorYyaH,fzaBopAnahoH+YyaH
carmmaRo'Y,carmmaRaH+aY
tadasya tadasmin syAditi,tat+asya+tat+asmin+syAt+iti
pariKAyA QaY,pariKAyAH+QaY
prAgvatezWaY,prAk+vateH+WaY
ArhAdagopucCasaMKyAparimARAwWak,A+arhAt+agopucCasaMKyAparimARAt+Wak
SatAcca WanyatAvaSate,SatAt+ca+WanyatO+aSate
vatoriqvA,vatoH+iw+vA
viMSatitriMSadByAM qvunnasaMjYAyAm,viMSatitriMSadByAm+qvun+asaMjYAyAm
kaMsAwwiWan,kaMsAt+wiWan
SUrpAdaYanyatarasyAm,SUrpAt+aY+anyatarasyAm
SatamAnaviMSatikasahasravasanAdaR,SatamAnaviMSatikasahasravasanAt+aR
aDyarDapUrvadvigorlugasaMjYAyAm,aDyarDapUrvadvigoH+luk+asaMjYAyAm
dvitripUrvAnnizkAt,dvitripUrvAt+nizkAt
bistAcca,bistAt+ca
viMSatikAt KaH,viMSatikAt+KaH
KAryA Ikan,KAryAH+Ikan
paRapAdamAzaSatAdat,paRapAdamAzaSatAt+yat
SARAdvA,SARAt+vA
dvitripUrvAdaR ca,dvitripUrvAt+aR+ca
tasya nimittaM saMyogotpAtO,tasya+nimittam+saMyogotpAtO
godvyacorasaMKyAparimARASvAderyat,godvyacaH+asaMKyAparimARASvAdeH+yat
putrAcCa ca,putrAt+Ca+ca
sarvaBUmipfTivIByAmaRaYO,sarvaBUmipfTivIByAm+aRaYO
tasyeSvaraH,tasya+iSvaraH
tatra vidita iti ca,tatra+viditaH+iti+ca
lokasarvalokAwWaY,lokasarvalokAt+WaY
tadasmin vfdDyAyalABaSulkopadA dIyate,tat+asmin+vfdDyAyalABaSulkopadAH+dIyate
pUraRArDAwWan,pUraRArDAt+Wan
BAgAdyacca,BAgAt+yat+ca
tadDarati vahatyAvahati BArAdvaMSAdiByaH,tad+harati+vahati+Avahati+BArAt+vaMSAdiByaH
vasnadravyAByAM WankanO,vasnadravyAByAm+WankanO
samBavatyavaharati pacati,samBavati+avaharati+pacati
AQakAcitapAtrAt Ko'nyatarayAm,AQakAcitapAtrAt+KaH+anyatarayAm
dvigozWaMSca,dvigoH+zWan+ca
kulijAllukKO ca,kulijAt+lukKO+ca
so'syAMSavasnaBftayaH,saH+asya+aMSavasnaBftayaH
tadasya parimARam,tat+asya+parimARam
saMKyAyAH saMjYAsaMGasUtrADyayanezu,saMKyAyAH+saMjYAsaNGasUtrADyayanezu
saptano'Y Candasi,saptanaH+aY+Candasi
triMSaccatvAriMSatorbrAhmaRe saMjYAyAM qaR,triMSaccatvAriMSatoH+brAhmaRe+saMjYAyAm+qaR
tad arhati,tat+arhati
CedAdiByo nityam,CedAdiByaH+nityam
SIrzacCedAdyacca,SIrzacCedAt+yat+ca
pAtrAdGaMSca,pAtrAt+Gan+ca
kaqaNgaradakziRAcCa ca,kaqaNgaradakziRAt+Ca+ca
yajYartvigByAM GaKaYO,yajYartvigByAm+GaKaYO
pArAyaRaturAyaRacAndrAyaRaM vartayati,pArAyaRaturAyaRacAndrAyaRam+vartayati
saMSayamApannaH,saMSayam+ApannaH
yojanaM gacCati,yojanam+gacCati
panTo Ra nityam,panTaH+Ra+nityam
uttarapaTenAhftaM ca,uttarapaTena+Ahftam+ca
tamaDIzwo Bfto BUto BAvI,tam+aDIzwaH+BftaH+BUtaH+BAvI
mAsAdvayasi yatKaYO,mAsAt+vayasi+yatKaYO
