SrImadBagavadgItA,SrImat+Bagavat+gItA
tambudDisaMyogaM laBate,tam+budDi+saMyogam+laBate
tato BUyaH,tataH+BUyaH
pUrvAByAsena,pUrva+aByAsena
tenEva,tena+eva
hyavaSospi,hi+avaSaH+api
jijYAsurapi,jijYAsuH+api
SabdabrahmAtivartate,Sabda+brahma+ativartate
prayatnAdyatamAnastu,prayatnAt+yatamAnaH+tu
anekajanmasaMsidDastato yAti,aneka+janma+sidDaH+tataH+yAti 
parANgatim,parAm+gatim
tapasviByosDiko yogI,tapasviByaH+aDikaH+yogI 
jYAniByospi,jYAniByaH+api
matosDikaH,mataH+aDikaH 
karmiByaScADiko yogI,karmiByaH+ca+aDikaH+yogI
tasmAdyogI,tasmAt+yogI
BavAarjuna,Bava+arjuna
yoginAmapi,yoginAm+api 
sarvezAmmadgatenAntarAtmanA,sarvezAm+mat+gatena+antar+AtmanA 
SradDAvAnBajate,SradDAvAn+Bajate
yo mAM sa me,yaH+mAm+saH+me 
yuktatamo mataH,yukta+tamaH+mataH 
oM tat,om+tat 
SrImadBagavadgItAsu,SrImat+Bagavat+gItAsu 
brahmavidyAyAM yogaSAstre,brahma+vidyAyAm+yoga+SAstre
SrIkfzRArjunasaMvAde,SrIkfzRa+arjuna+saMvAde
DyAnayogonAma,DyAna+yogaH+nAma
zazWosDyAyaH,zazWaH+aDyAyaH
saptamosDyAyaH,saptamaH+aDyAyaH
SrIBagavAnuvAca,SrI+BagavAn+uvAca
mayyAsaktamanAH,mayi+Asakta+manAH
yogaM yuYjanmadASrayaH,yogam+yuYjan+mat+ASrayaH
asaMSayaM samagraM mAM yaTA,asaMSayam+samagram+mAm+yaTA
tacCfRu,tat+SrfRu
jYAnaM teshaM savijYAnamidaM vakzyAmyaSezataH,jYAnam+te+aham+savijYAnam+idam+vakzyAmi+aSezataH 
yajjYAtvA,yat+jYAtvA
neha,na+iha
BUyosnyajjYAtavyamavaSizyate,BUyaH+anyat+jYAtavyam+avaSizyate
manuzyARAM sahasrezu,manuzyARAm+sahasrezu 
kaScidyatati,kaH+cit+yatati
yatatAmapi,yatatAm+api
sidDAnAM kaScinmAM vetti,sidDAnAm+kaH+cit+mAm+vetti 
BUmirAposnalovAyuH,BUmiH+ApaH+analaH+vAyuH 
KaM mano budDireva,Kam+manaH+budDiH+eva
ahaNkAra itIyaM me,aham+kAraH+iti+iyam+me
prakftirazwaDA,prakftiH+azwaDA
apareyamitastvanyAM prakftiM vidDi,aparA+iyam+itaH+tu+anyAm+prakftim+vidDi
jIvaBUtAM mahAbAho yayedaM DAryate,jIva+BUtAm+mahA+bAhaH+yayA+idam+DAryate
etadyonIni,etat+yonIni
sarvARItyupaDAraya,sarvARi+iti+upaDAraya
ahaM kftsnasya,aham+kftsnasya
pralayastaTA,pralayaH+taTA
parataraM nAnyatkiYcidasti,parataram+na+anyat+kim+cit+asti
DanaYjaya,Danam+jaya
sarvamidaM protaM sUtre,sarvam+idam+protam+sUtre 
rasoshamapsu,rasaH+aham+apsu
praBAsmi,praBA+asmi
pOruzannfzu,pOruzam+nfzu
puRyo ganDaH,puRyaH+ganDaH
pfTivyaYca,pfTivyAm+ca
tejaScAsmi,tejaH+ca+asmi 
jIvanaM sarvaBUtezu,jIvanam+sarva+BUtezu 
tapaScAsmi,tapaH+ca+asmi
bIjaM mAM sarvaBUtAnAM vidDi,bIjam+mAm+sarva+BUtAnAm+vidDi
budDirbudDimatAmasmi,budDiH+budDimatAm+asmi
tejastejasvinAmaham,tejaH+tejasvinAm+aham
balaM balavatAM cAhaM kAmarAgavivarjitam,balam+balavatAm+ca+aham+kAma+rAga+vivarjitam 
DarmAvIrudDo BUtezu,Darmasya+avirudDaH+BUtezu 
kAmossmi,kAmaH+asmi
BaratarzaBa,Barata+fzaBa
cEva,ca+eva
sAttvikA BAvA rAjasAstAmasASca,sAttvikAH+BAvAH+rAjasAH+tAmasAH+ca
eveti,eva+iti
tAnvidDi,tAn+vidDi
tvahaM tezu,tu+aham+tezu
triBirguRamayErBAvEreBiH,triBiH+guRa+mayEH+BAvEH+eBiH 
sarvamidaM jagat,sarvam+idam+jagat 
mohitaM nABijAnAti,mohitam+na+aBijAnAti
mAmeByaH paramavyayam,mAm+eByaH+param+avyayam
mAmeva,mAm+eva
mAyAmetAM taranti,mAyAm+etAm+taranti
mAM duzkftino mUQAH,mAm+duH+kftinaH+mUQAH
narADamAH,nara+aDamAH
mAyayApahftajYAnA,mAyayA+apahftajYAnA 
AsuraM BAvamASritAH,Asuram+BAvam+ASritAH
mAM janAH,mAm+janAH
sukftinosrjuna,sukftinaH+arjuna 
Arto jijYAsurarTArTI,ArtaH+jijYAsuH+arTa+arTI
BaratarzaBa,Barata+fzaBa
tezAM jYAnI,tezAm+jYAnI
ekaBaktirviSizyate,eka+BaktiH+viSizyate 
priyo hi,priyaH+hi 
jYAninostyarTamahaM sa ca,jYAninaH+ati+arTam+aham+saH+ca
sarva evEte,sarve+eva+ete
tvAtmEva,tu+AtmA+eva
sa hi,saH+hi
yuktAtmA,yukta+AtmA
mAmevAnuttamANgatim,mAm+eva+an+uttamAm+gatim
bahUnAM janmanAmante,bahUnAm+janmanAm+ante
mAM prapadyate,mAm+prapadyate
sarvamiti,sarvam+iti
sa mahAtmA,saH+mahA+AtmA
kAmEstEstErhftajYAnAH,kAmEH+tEH+tEH+hfta+jYAnAH 
prapadyantenyadevatAH,prapadyante+anya+devatAH 
taM taM niyamamAsTAya,tam+tam+niyamam+AsTAya 
yo yo yAM yAM tanuM BaktaH,yaH+yaH+yAm+yAm+tanum+BaktaH
SradDayArcitumicCati,SradDayA+arcitum+icCati 
tasyAcalAM SradDAM tAmeva,tasya+acalAm+SradDAm+tAm+eva
vidaDAmyaham,vidaDAmi+aham
sa tayA,saH+tayA
yuktastasyArADanamIhate,yuktaH+tasya+ArADanam+Ihate 
mayEva,mayA+eva
vihitAnhi,vihitAn+hi
antavattu,antavat+tu
PalaM tezAM tadBavatyalpameDasAm,Palam+tezAm+tat+Bavati+alpa+meDasAm 
devAndevayajo yAnti,devAn+deva+yajaH+yAnti
madBaktA yAnti,mat+BaktAH+yAnti
mAmapi,mAm+api
avyaktaM vyaktimApannaM manyante,avyaktam+vyaktim+Apannam+manyante
mAmabudDayaH,mAm+abudDayaH
paramBAvamajAnanto mamAvyayamanuttamam,param+BAvam+ajAnantaH+mama+avyayam+an+uttamam
nAhaM prakASaH,na+aham+prakASaH
yogamAyAsamAvftaH,yogamAyA+sam+AvftaH 
mUQosyaM nABijAnAti,mUQaH+ayam+na+aBijAnAti 
loko mAmajamavyayam,lokaH+mAm+ajam+avyayam 
vedAhaM samatItAni,veda+aham+sam+atItAni
cArjuna,ca+arjuna 
mAM tu,mAm+tu
kaScana,kaH+cana
icCAdvezasamutTena,icCA+dveza+sam+utTena
sammohaM sarge,sam+moham+sarge
parantapa,param+tapa
yezAM tvantagatampApaM janAnAmpuRyakarmaRAm,yezAm+tu+antagatam+pApam+janAnAm+puRya+karmaRAm
dvandvamohanirmuktA Bajante,dvandva+moha+nirmuktAH+Bajante
mAM dfQavratAH,mAm+dfQa+vratAH
mAmASritya,mAm+ASritya
tadviduH,tat+viduH
kftsnamaDyAtmaM karma,kftsnam+aDi+Atmam+karma
cAKilam,ca+aKilam
sADiBUtADidEvammAM sADiyajYaYca,sa+aDi+BUta+aDi+dEvam+mAm+sa+aDi+yajYam+ca
prayARakAlespi,prayARa+kAle+api
viduryuktacetasaH,viduH+yukta+cetasaH
oM tat,om+tat 
SrImadBagavadgItAsu,SrImat+Bagavat+gItAsu 
brahmavidyAyAM yogaSAstre,brahma+vidyAyAm+yoga+SAstre
SrIkfzRArjunasaMvAde,SrI+kfzRa+arjuna+saMvAde
jYAnavijYAnayogonAma,jYAna+vijYAna+yogaH+nAma
saptamosDyAyaH,saptamaH+aDyAyaH
azwamosDyAyaH,azwamaH+aDyAyaH 
arjuna uvAca,arjunaH+uvAca 
kiM tadbrahma,kim+tat+brahma
kimaDyAtmaM kiM karma,kim+aDi+Atmam+kim+karma
puruzottama,puruza+uttama 
aDiBUtaYca,aDi+BUtam+ca
kimproktamaDidEvaM kimucyate,kim+proktam+aDi+dEvam+kim+ucyate
kaTaNkostra,kaTam+kaH+atra
dehessminmaDusUdana,dehe+asmin+maDu+sUdana 
kaTaYjYeyossi,kaTam+jYeyaH+asi
niyatAtmaBiH,niyata+AtmaBiH
SrIBagavAnuvAca,SrI+BagavAn+uvAca
akzarambrahma,akzaram+brahma
paramaM svaBAvosDyAtmamucyate,paramam+sva+BAvaH+aDi+Atmam+ucyate 
BUtaBAvodBavakaro visargaH,BUta+BAva+ut+Bava+karaH+visargaH
aDiBUtaM kzaro BAvaH,aDi+BUtam+kzaraH+BAvaH
puruzaScADidEvatam,puruzaH+ca+aDi+dEvatam
aDiyajYohamevAtra,aDi+yajYaH+aham+eva+atra
dehaBftAM vara,deha+BftAm+vara
mAmeva,mAm+eva
sa madBAvaM yAti,saH+mat+BAvam+yAti 
nAstyatra,na+asti+atra
yaM yaM vApi,yam+yam+vA+api 
smaranBAvantyajatyante,smaran+BAvam+tyajati+ante 
taM tamevEti,tam+tam+eva+iti
tadBAvaBAvitaH,tat+BAva+BAvitaH
tasmAtsarvezu,tasmAt+sarvezu 
mAmanusmara,mAm+anusmara
mayyarpitamanobudDirmAmevEzyasyasaMSayaH,mayi+arpita+manaH+budDiH+mAm+eva+izyasi+asaMSayaH 
nAnyagAminA,na+anya+gAminA
paramampuruzaM divyaM yAti,paramam+puruzam+divyam+yAti
pArTAnucintayan,pArTa+anu+cintayan
kavimpurARamanuSAsitAramaRoraRIyAMsamanusmaredyaH,kavim+purARam+anu+SAsitAram+aRoH+aRIyAn+sam+anusmaret+yaH
DAtAramacintyarUpamAdityavarRantamasaH,DAtAram+acintya+rUpam+Aditya+varRam+tamasaH 
parastAt,paraH+tAt
yukto yogabalena,yuktaH+yoga+balena
cEva,ca+eva 
BruvormaDye,BruvoH+maDye
prARamAveSya,prARam+AveSya
sa tamparampuruzamupEti,saH+tam+param+puruzam+upa+eti 
yadakzaraM vedavido vadanti,yat+akzaram+veda+vidaH+vadanti 
yadyatayo vItarAgAH,yat+yatayaH+vIta+rAgAH 
yadicCanto brahmacaryaYcaranti,yadi+icCantaH+brahma+caryam+caranti 
tatte,tat+te 
padaM saNgraheRa,padam+saNgraheRa
mano hfdi,manaH+hfdi
mUrDnyADAyAtmanaH,mUrDnya+ADAya+AtmanaH
prARamAsTito yogaDAraRAm,prARam+AsTitaH+yoga+DAraRAm
omityekAkzarambrahma,om+iti+eka+akzaram+brahma
vyAharanmAmanusmaran,vyAharan+mAm+anusmaran
tyajandehaM sa yAti,tyajat+deham+saH+yAti
paramANgatim,paramAm+gatim 
satataM yo mAM smarati,satatam+yaH+mAm+smarati
tasyAhaM sulaBaH,tasya+aham+sulaBaH
mAmupetya,mAm+upetya
punarjanma,punaH+janma
duHKAlayamaSASvatam,duHKa+Alayam+aSASvatam 
nApnuvanti,na+Apnuvanti
mahAtmAnaH,mahA+AtmAnaH
saMsidDimparamANgatAH,sam+sidDim+paramAm+gatAH
AbrahmaBuvanAllokAH,Abrahma+BuvanAt+lokAH
punarAvartinorjuna,punaH+AvartinaH+arjuna
mAmupetya,mAm+upa+itya
punarjanma,punaH+janma
sahasrayugaparyantamaharyadbrahmaRo viduH,sahasra+yuga+paryantam+ahaH+yat+brahmaRaH+viduH 
rAtriM yugasahasrAntAntehorAtravido janAH,rAtrim+yuga+sahasrAm+tAm+te+ahaH+rAtra+vidaH+janAH
avyaktAdvyaktayaH,avyaktAt+vyaktayaH 
praBavantyaharAgame,praBavanti+ahaH+Agame 
rAtryAgame,rAtri+Agame
tatrEvAvyaktasaYjYake,tatra+eva+avyakta+saYjYake
sa evAyamBUtvA,saH+eva+ayam+BUtvA
rAtryAgamesvaSaH,rAtri+Agame+avaSaH
praBavatyaharAgame,praBavati+ahaH+Agame 
parastasmAttu,paraH+tasmAt+tu
BAvosnyovyaktovyaktAtsanAtanaH,BAvoH+anyaH+avyaktaH+avyaktAt+sanAtanaH
sa sarvezu,saH+sarvezu
avyaktoskzara ityuktastamAhuH,avyaktaH+akzaraH+iti+uktaH+tam+AhuH
paramANgatim,paramAm+gatim 
yaM prApya,yam+prApya
tadDAma,tat+DAma
paramammama,paramam+mama
laByastvananyayA,laByaH+tu+ananyayA
yasyAntaHsTAni,yasya+antaH+sTAni
sarvamidantatam,sarvam+idam+tatam
tvanAvfttimAvfttiYcEva,tu+an+Avfttim+Avfttim+ca+eva 
prayAtA yAnti,prayAtAH+yAnti
taNkAlaM vakzyAmi,tam+kAlam+vakzyAmi
BaratarzaBa,Barata+fzaBa
agnirjyotirahaH,agniH+jyotiH+ahaH
zaRmAsA,zaw+mAsA
uttarAyaRam,uttara+ayanam
prayAtA gacCanti,prayAtAH+gacCanti
brahmavido janAH,brahma+vidaH+janAH
DUmo rAtristaTA,DUmaH+rAtriH+taTA
zaRmAsA,zaw+mAsA
dakziRAyanam,dakziRa+ayanam
cAndramasaYjyotiryogI,cAndramasam+jyotiH+yogI
hyete,hi+ete
yAtyanAvfttimanyayAvartate,yAti+an+Avfttim+anyayA+Avartate
nEte,na+ete 
jAnanyogI,jAnan+yogI
kaScana,kaH+cana
tasmAtsarvezu,tasmAt+sarvezu
yogayukto BavArjuna,yoga+yuktaH+Bava+arjuna
cEva,ca+eva 
yatpuRyaPalampradizwam,yat+puRya+Palam+pradizwam
atyeti,ati+eti
tatsarvamidaM viditvA,tat+sarvam+idam+viditvA 
paraM sTAnamupEti,param+sTAnam+upa+eti
cAdyam,ca+adyam
oM tat,om+tat 
SrImadBagavadgItAsu,SrImat+Bagavat+gItAsu 
brahmavidyAyAM yogaSAstre,brahma+vidyAyAm+yoga+SAstre
SrIkfzRArjunasaMvAde,SrIkfzRa+arjuna+saMvAde
akzaraparabrahmayogonAma,akzara+parabrahma+yogaH+nAma
azwamosDyAyaH,azwamaH+aDyAyaH
navamosDyAyaH,navamaH+aDyAyaH
SrIBagavAnuvAca,SrI+BagavAn+uvAca
idaM tu,idam+tu
guhyatamaM pravakzyAmyanasUyave,guhya+tamam+pravakzyAmi+an+asUyave 
jYAnaM vijYAnasahitaM yajjYAtvA,jYAnam+vijYAna+sahitam+yat+jYAtvA
mokzyasesSuBAt,mokzyase+aSuBAt
rAjaguhyaM pavitramidamuttamam,rAja+guhyam+pavitram+idam+uttamam 
pratyakzAvagamaM DarmyaM susuKaM kartumavyayam,pratyakzO+Agamam+Darmyam+susuKam+kartum+avyayam
puruzA DarmasyAsya,puruzAH+Darmasya+asya
parantapa,param+tapa
mAM nivartante,mAm+nivartante
tatamidaM sarvaM jagadavyaktamUrtinA,tatam+idam+sarvam+jagat+avyakta+mUrtinA 
cAhaM tezvavasTitaH,ca+aham+tezu+avasTitaH 
yogamESvaram,yogam+ESvaram 
BUtaBfnna,BUta+Bft+na
BUtasTo mamAtmA,BUta+sTaH+mama+AtmA
yaTAkASasTito nityaM vAyuH,yaTA+AkASa+sTitaH+nityam+vAyuH
sarvatrago mahAn,sarvatragaH+mahAn
matsTAnItyupaDAraya,mat+sTAni+iti+upaDAraya 
prakftiM yAnti,prakftim+yAnti
punastAni,punaH+tAni
kalpAdO,kalpa+AdO
visfjAmyaham,visfjAmi+aham
prakftiM svAmavazwaBya,prakftim+svAm+avazwaBya
BUtagrAmamimam,BUta+grAmam+imam
kftsnamavasamprakftervaSAt,kftsnam+avasam+prakfteH+vaSAt
mAM tAni,mAm+tAni
DanaYjaya,Danam+jaya
udAsInavadAsInamasaktaM tezu,udAsIna+ava+dAsInam+asaktam+tezu 
mayADyakzeRa,mayA+aDi+akzeRa
sacarAcaram,cara+acaram
hetunAnena,hetunA+anena
jagadviparivartate,jagat+viparivartate
mAM mUQA mAnuzIM tanumASritam,mAm+mUQAH+mAnuzIm+tanum+ASritam 
paraM BAvamajAnanto mama,param+BAvam+ajAnantaH+mama
BUtamaheSvaram,BUtamahA+ISvaram
moGASA moGakarmARo moGajYAnA vicetasaH,moGa+ASAH+moGa+karmARaH+moGa+jYAnAH+vicetasaH 
rAkzasImAsurIM cEva,rAkzasIm+AsurIm+ca+eva
prakftiM mohinIm,prakftim+mohinIm
mahAtmAnastu,mahA+AtmAnaH+tu 
mAM pArTa,mAm+pArTa
dEvIM prakftimASritAH,dEvIm+prakftim+ASritAH
Bajantyananyamanaso jYAtvA,Bajanti+ananya+manasaH+jYAtvA
BUtAdimavyayam,BUta+Adim+avyayam
satataM kIrtayanto mAM yatantaSca,satatam+kIrtayantaH+mAm+yatantaH+ca
namasyantaSca,namasyantaH+ca
mAM BaktyA,mAm+BaktyA 
cApyanye,ca+api+anye
yajanto mAmupAsate,yajantaH+mAm+upAsate 
viSvatomuKam,viSvataH+muKam
ahaM kraturahaM yajYaH,aham+kratuH+aham+yajYaH
svaDAhamahamOzaDam,svaDA+aham+aham+OzaDam 
mantroshamahamevAjyamahamagnirahaM hutam,mantraH+aham+aham+eva+Ajyam+aham+agniH+aham+hutam
pitAhamasya,pitA+aham+asya
jagato mAtA,jagataH+mAtA
vedyaM pavitramoMkAra fksAmayajureva,vedyam+pavitram+om+kAraH+fk+sAma+yajuH+eva
gatirBartA,gatiH+BartA
SaraRaM suhft,SaraRam+suhft 
sTAnaM niDAnaM bIjamavyayam,sTAnam+niDAnam bIjam+avyayam 
tapAmyahamahaM varzaM nigfhRAmyutsfjAmi,tapAmi+aham+aham+varzam+nigfhRAmi+utsfjAmi
amftaM cEva,amftam+ca+eva
mftyuSca,mftyuH+ca 
sadasaccAhamarjuna,sat+asat+ca+aham+arjuna 
mAM somapAH,mAm+somapAH
yajYErizwvA,yajYEH+izwvA
svargatiM prArTayante,svargatim+prArTayante 
puRyamAsAdya,puRyam+AsAdya
surendralokam,sura+indra+lokam
divyAndivi,divyAn+divi
taM BuktvA,tam+BuktvA
svargalokaM viSAlam,svarga+lokam+viSAlam 
martyalokaM viSanti,martya+lokam+viSanti 
evaM trEDarmyamanuprapannAH,evam+trI+Darmam+anu+prapannAH 
gatAgataM kAmakAmA laBante,gata+Agatam+kAma+kAmAH+laBante
ananyAScintayanto mAM ye,ananyAH+cintayantaH+mAm+ye
paryupAsate,pari+upAsate
tezAM nityABiyuktAnAM yogakzemaM vahAmyaham,tezAm+nitya+aBi+yuktAnAm+yoga+kzemam+vahAmi+aham
yespyanyadevatABaktA yajante,ye+api+anya+devatAH+BaktAH+yajante
SradDayAnvitAH,SradDayA+anvitAH 
tespi,te+api
mAmeva,mAm+eva 
yajantyaviDipUrvakam,yajanti+aviDi+pUrvakam
ahaM hi,aham+hi 
sarvayajYAnAM BoktA,sarva+yajYAnAm+BoktA
praBureva,praBuH+eva
mAmaBijAnanti,mAm+aBi+jAnanti
tattvenAtaScyavanti,tattvena+ataScyavanti 
devavratA devAnpitFn,deva+vratAH+devAn+pitFn 
BUtejyA,BUta+ijyA
madyAjinospi,mat+yAjinaH+api
patraM puzpaM PalaM toyaM yo me,patram+puzpam+Palam+toyam+yaH+me
tadahaM BaktyupahftamaSnAmi,tat+aham+Bakti+upahftam+aSnAmi
prayatAtmanaH,prayata+AtmanaH
yatkarozi,yat+karozi
yadaSnAsi,yat+aSnAsi
yajjuhozi,yat+juhozi
yattapasyasi,yat+tapasyasi
tatkuruzva,tat+kuruzva
madarpaRam,mat+arpaRam
SuBASuBaPalErevaM mokzyase,SuBa+aSuBa+PalEH+evam+mokzyase
saMnyAsayogayuktAtmA,sam+nyAsa+yoga+yukta+AtmA
vimukto mAmupEzyasi,vimuktaH+mAm+upezyasi
samoshaM sarvaBUtezu,samaH+aham+sarva+BUtezu
dvezyossti,dvezyaH+asti
mAM BaktyA,mAm+BaktyA
cApyaham,ca+api+aham
cetsudurAcAro Bajate,cet+su+durAcAraH+Bajate
mAmananyaBAk,mAm+an+anya+BAk
sADureva,sADuH+eva 
sa mantavyaH,saH+mantavyaH 
samyagvyavasito hi,samyak+vyavasitaH+hi
kzipraM Bavati,kzipram+Bavati
DarmAtmA,Darma+AtmA
SaSvacCAntiM nigacCati,SaSvat+SAntim+nigacCati 
mAM hi,mAm+hi 
vyapASritya,vi+apa+ASritya
yespi,ye+api
striyo vESyAstaTA,striyaH+vESyAH+taTA 
SUdrAstespi,SUdrAH+te+api
parAM gatim,parAm+gatim
kiM punarbrAhmaRAH,kim+punaH+brAhmaRAH 
puRyA BaktArAjarzayastaTA,puRyAH BaktAH+rAjA+fzayaH+taTA 
anityamasuKaM lokamimaM prApya,anityam+suKam+lokam+imam+prApya
manmanA,mat+manA
madBakto madyAjI,mat+BaktaH+mat+yAjI
mAM namaskuru,mAm+namaH+kuru 
mAmevEzyasi,mAm+eva+Ezyasi
yuktvEvam,yuktvA+evam
AtmAnaM matparAyaRaH,AtmAnam+mat+parAyaRaH
oM tat,om+tat 
SrImadBagavadgItAsu,SrImat+Bagavat+gItAsu 
brahmavidyAyAM yogaSAstre,brahma+vidyAyAm+yoga+SAstre
SrIkfzRArjunasaMvAde,SrIkfzRa+arjuna+saMvAde
rAjavidyArAjaguhyayogonAma,rAja+vidyA+rAja+guhya+yogaH+nAma
